section,subsection,municipality,state,legal_basis
"Seção Judiciária do Pará","Belém","Belém",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Abaetetuba",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Acará",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Afuá",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Anajás",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Ananindeua",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Bagre",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Baião",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Barcarena",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Benevides",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Breves",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Bujaru",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Cachoeira do Arari",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Cametá",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Chaves",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Colares",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Concórdia do Pará",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Curralinho",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Igarapé-Miri",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Limoeiro do Ajuru",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Marituba",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Melgaço",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Mocajuba",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Moju",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Muaná",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Belém","Oeiras do Pará",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
